iter	Logloss
0	0.6904183622
1	0.6878715694
2	0.6852169551
3	0.6826806435
4	0.6802622289
5	0.6778711525
6	0.6753303639
7	0.6729562924
8	0.6705869268
9	0.6682291346
10	0.6660554137
11	0.6638185705
12	0.661862844
13	0.659844863
14	0.6578523361
15	0.6557219637
16	0.6536681731
17	0.6516380687
18	0.6496721064
19	0.6478577192
20	0.6460264081
21	0.6441538218
22	0.6423908927
23	0.6406211495
24	0.6389806805
25	0.6372906487
26	0.635680961
27	0.6341493997
28	0.632716099
29	0.6312335883
30	0.629894039
31	0.6283689149
32	0.6269499127
33	0.625547928
34	0.6241856566
35	0.6227984826
36	0.6213916444
37	0.6201377277
38	0.618893499
39	0.6176616748
40	0.6163869644
41	0.6151540578
42	0.6139844688
43	0.6127441401
44	0.6115927301
45	0.6104162096
46	0.6093354488
47	0.6082448291
48	0.6071247625
49	0.606070836
50	0.6049951185
51	0.6039337052
52	0.6029108227
53	0.6019186803
54	0.6009768444
55	0.6000733716
56	0.5991549866
57	0.5983597729
58	0.5976147434
59	0.5967928455
60	0.5959410147
61	0.5950791435
62	0.5942681785
63	0.5933955788
64	0.5926836242
65	0.5919133355
66	0.5911387755
67	0.5904476954
68	0.5897350613
69	0.5890329829
70	0.5883409448
71	0.5876478465
72	0.5869932594
73	0.5862636052
74	0.5855934185
75	0.5849134684
76	0.5842556798
77	0.5836696369
78	0.5830935126
79	0.5824604289
80	0.5818650268
81	0.5814042075
82	0.5807267357
83	0.580205226
84	0.5796929144
85	0.5792040561
86	0.578681694
87	0.578116222
88	0.5775628043
89	0.5770836177
90	0.576552159
91	0.5759800733
92	0.5754842368
93	0.5750365941
94	0.5745248219
95	0.574078354
96	0.5736913556
97	0.5732002015
98	0.5727813413
99	0.5722586329
100	0.5718142228
101	0.5713770246
102	0.5709156557
103	0.5704777443
104	0.5700400694
105	0.5696682964
106	0.5693293341
107	0.5689625425
108	0.5685997163
109	0.568170399
110	0.5678895553
111	0.5675660208
112	0.5672495032
113	0.5668773843
114	0.5665082082
115	0.5661959876
116	0.5658001356
117	0.5655426234
118	0.5652251186
119	0.5649084706
120	0.5646494854
121	0.5644018106
122	0.5641259757
123	0.5637790896
124	0.5635458815
125	0.5632194663
126	0.5629571959
127	0.5626438234
128	0.5622914233
129	0.561997845
130	0.5616761831
131	0.5613607785
132	0.5611169304
133	0.5608460641
134	0.5605062381
135	0.5602611874
136	0.5600164736
137	0.5597442208
138	0.5595316712
139	0.5593108454
140	0.5590665267
141	0.5588067724
142	0.5585675874
143	0.558343953
144	0.5580948222
145	0.5578318721
146	0.5576110748
147	0.5573895009
148	0.557160171
149	0.5569758808
150	0.5567314961
151	0.5565109582
152	0.5562850265
153	0.5560534511
154	0.5558163283
155	0.5556176167
156	0.5553735435
157	0.5552071253
158	0.5550329169
159	0.5548638698
160	0.554706321
161	0.5544966504
162	0.5543007036
163	0.5541552772
164	0.5539785255
165	0.5538055322
166	0.5536282414
167	0.5534630575
168	0.5532797454
169	0.5531221793
170	0.5529430682
171	0.5527739347
172	0.5526126805
173	0.552466147
174	0.55227382
175	0.552166332
176	0.5519857061
177	0.5518188096
178	0.5516595717
179	0.5514889612
180	0.551365009
181	0.5512079061
