iter	Passed	Remaining
0	2	5888
1	6	6012
2	8	5655
3	10	5121
4	12	4927
5	14	4896
6	17	4882
7	19	4856
8	21	4766
9	24	4779
10	26	4782
11	29	4955
12	31	4890
13	34	4843
14	36	4765
15	38	4724
16	40	4670
17	42	4713
18	44	4680
19	47	4657
20	49	4675
21	51	4643
22	53	4616
23	55	4599
24	58	4584
25	60	4576
26	62	4574
27	64	4544
28	66	4516
29	68	4524
30	71	4511
31	73	4502
32	75	4481
33	77	4456
34	79	4438
35	80	4417
36	82	4398
37	85	4439
38	88	4438
39	90	4439
40	92	4433
41	95	4430
42	97	4415
43	99	4412
44	101	4395
45	103	4386
46	105	4377
47	107	4366
48	109	4363
49	111	4353
50	113	4354
51	116	4346
52	118	4343
53	120	4335
54	122	4336
55	126	4377
56	128	4366
57	130	4359
58	131	4337
59	133	4330
60	135	4318
61	138	4321
62	140	4310
63	142	4307
64	144	4295
65	146	4293
66	148	4287
67	150	4282
68	153	4286
69	155	4278
70	157	4290
71	160	4286
72	162	4287
73	165	4306
74	167	4295
75	169	4290
76	173	4331
77	175	4324
78	177	4316
79	179	4318
80	182	4327
81	184	4325
82	187	4324
83	189	4324
84	191	4323
85	194	4318
86	196	4310
87	198	4306
88	200	4307
89	202	4301
90	204	4296
91	206	4290
92	208	4279
93	210	4276
94	212	4269
95	215	4267
96	217	4266
97	219	4264
98	221	4260
99	223	4252
100	225	4245
101	227	4241
102	230	4239
103	232	4232
104	234	4224
105	236	4218
106	238	4213
107	240	4208
108	242	4205
109	244	4198
110	246	4190
111	248	4187
112	250	4183
113	253	4187
114	255	4184
115	257	4183
116	259	4182
117	262	4178
118	264	4173
119	266	4177
120	268	4171
121	270	4168
122	273	4168
123	275	4164
124	277	4157
125	279	4150
126	280	4139
127	282	4134
128	284	4132
129	286	4127
130	289	4124
131	291	4121
132	293	4116
133	295	4112
134	297	4105
135	299	4102
136	301	4098
137	303	4095
138	305	4093
139	307	4090
140	309	4086
141	312	4084
142	314	4079
143	316	4078
144	318	4074
145	320	4069
146	322	4068
147	324	4065
148	327	4066
149	329	4064
150	331	4062
151	333	4055
152	335	4052
153	338	4055
154	340	4051
155	342	4049
156	344	4046
157	346	4043
158	349	4044
159	351	4038
160	353	4033
161	355	4028
162	357	4025
163	359	4020
164	361	4018
165	363	4018
166	365	4015
167	368	4014
168	370	4013
169	372	4012
170	375	4013
171	377	4008
172	379	4004
173	381	4002
174	383	3998
175	385	3994
176	387	3995
177	390	3994
178	392	3993
179	394	3993
180	397	3992
181	399	3990
182	401	3987
183	404	3988
184	406	3985
185	408	3984
186	410	3983
187	413	3985
188	416	3987
189	418	3988
190	421	3989
191	423	3990
192	426	3989
193	428	3991
194	431	3990
195	433	3991
196	436	3992
197	438	3991
198	441	3991
199	443	3994
200	446	3996
201	449	3998
202	451	3999
203	454	3997
204	456	3996
205	459	3997
206	461	3996
207	463	3995
208	466	3994
209	468	3991
210	470	3989
211	472	3985
212	474	3981
213	477	3981
214	479	3979
215	481	3980
216	484	3979
217	486	3979
218	489	3978
219	491	3977
220	493	3974
221	496	3974
222	498	3972
223	500	3970
224	503	3968
225	505	3965
226	507	3962
227	509	3961
228	511	3956
229	513	3953
230	515	3950
231	517	3945
232	520	3945
233	522	3942
234	524	3942
235	527	3940
236	529	3939
237	531	3937
238	533	3934
239	536	3934
240	538	3932
241	541	3937
242	544	3934
243	546	3931
244	549	3934
245	551	3931
246	553	3930
247	555	3927
248	558	3924
249	560	3922
250	562	3919
251	564	3915
252	566	3911
253	569	3914
254	571	3911
255	574	3911
256	576	3908
257	578	3906
258	580	3905
259	583	3903
260	585	3900
261	588	3900
262	590	3898
263	592	3899
264	595	3896
265	597	3894
266	600	3894
267	602	3891
268	604	3890
269	606	3887
270	608	3884
271	611	3883
272	613	3881
273	615	3880
274	618	3879
275	620	3877
276	623	3875
277	625	3871
278	627	3868
279	629	3868
280	632	3866
281	634	3868
282	637	3865
283	639	3863
284	641	3862
285	644	3862
286	646	3861
287	649	3859
288	651	3858
289	653	3855
290	656	3852
291	659	3854
292	661	3852
293	663	3850
294	665	3848
295	668	3845
296	670	3843
297	672	3839
298	674	3836
299	676	3834
300	678	3831
301	682	3837
302	684	3835
303	687	3832
304	689	3833
305	692	3836
306	696	3838
307	698	3836
308	701	3840
309	704	3838
310	706	3836
311	708	3832
312	710	3830
313	712	3826
314	714	3823
315	717	3821
316	719	3818
317	722	3820
318	724	3818
319	726	3816
320	729	3814
321	731	3809
322	732	3805
323	735	3802
324	738	3804
325	740	3800
326	742	3798
327	744	3796
328	747	3794
329	749	3792
330	751	3789
331	753	3786
332	756	3784
333	758	3783
334	760	3779
335	762	3777
336	764	3774
337	766	3771
338	769	3769
339	771	3766
340	774	3767
341	776	3764
342	778	3762
343	780	3757
344	783	3760
345	785	3757
346	788	3755
347	790	3752
348	792	3749
349	795	3748
350	797	3745
351	799	3742
352	802	3742
353	804	3739
354	806	3737
355	808	3734
356	810	3730
357	812	3728
358	815	3726
359	817	3725
360	820	3723
361	822	3720
362	824	3718
363	826	3714
364	828	3711
365	830	3707
366	832	3705
367	835	3705
368	837	3703
369	840	3701
370	842	3699
371	844	3695
372	846	3691
373	848	3689
374	851	3687
375	853	3685
376	855	3683
377	857	3679
378	859	3676
379	861	3673
380	863	3671
381	866	3668
382	868	3666
383	870	3663
384	872	3661
385	875	3662
386	878	3661
387	881	3661
388	883	3660
389	886	3658
390	889	3660
391	891	3656
392	893	3654
393	896	3652
394	898	3650
395	900	3648
396	903	3646
397	905	3645
398	907	3641
399	909	3638
400	912	3636
401	914	3634
402	916	3630
403	919	3630
404	921	3627
405	923	3624
406	926	3625
407	928	3623
408	930	3620
409	932	3617
410	935	3616
411	937	3614
412	939	3611
413	941	3608
414	944	3605
415	946	3603
416	948	3600
417	951	3599
418	954	3601
419	956	3598
420	958	3596
421	961	3594
422	963	3591
423	965	3589
424	967	3585
425	969	3582
426	971	3579
427	973	3577
428	976	3576
429	978	3574
430	981	3571
431	983	3568
432	985	3566
433	987	3563
434	989	3560
435	992	3558
436	994	3556
437	996	3553
438	998	3551
439	1001	3549
440	1003	3546
441	1005	3543
442	1007	3541
443	1009	3538
444	1012	3536
445	1014	3533
446	1015	3529
447	1018	3527
448	1020	3525
449	1022	3522
450	1025	3520
451	1027	3518
452	1029	3515
453	1031	3513
454	1034	3511
455	1036	3508
456	1038	3506
457	1040	3504
458	1043	3502
459	1045	3500
460	1048	3500
461	1050	3497
462	1052	3494
463	1055	3492
464	1057	3492
465	1060	3491
466	1063	3491
467	1065	3488
468	1067	3485
469	1069	3482
470	1072	3480
471	1074	3477
472	1076	3474
473	1078	3471
474	1080	3468
475	1083	3469
476	1085	3466
477	1088	3464
478	1090	3462
479	1092	3459
480	1094	3457
481	1097	3456
482	1100	3457
483	1102	3454
484	1104	3451
485	1107	3449
486	1109	3447
487	1112	3446
488	1114	3444
489	1117	3442
490	1119	3439
491	1121	3438
492	1124	3437
493	1126	3434
494	1128	3431
495	1130	3429
496	1133	3426
497	1135	3424
498	1137	3421
499	1139	3419
500	1142	3417
501	1144	3414
502	1146	3412
503	1149	3411
504	1151	3409
505	1153	3406
506	1156	3404
507	1158	3402
508	1160	3400
509	1163	3397
510	1165	3395
511	1167	3392
512	1169	3390
513	1171	3387
514	1174	3386
515	1176	3384
516	1179	3382
517	1181	3380
518	1183	3377
519	1186	3376
520	1188	3374
521	1190	3371
522	1192	3367
523	1195	3366
524	1197	3363
525	1200	3363
526	1202	3361
527	1204	3358
528	1206	3355
529	1208	3353
530	1211	3351
531	1213	3348
532	1215	3346
533	1217	3343
534	1219	3340
535	1221	3337
536	1224	3336
537	1226	3333
538	1229	3331
539	1231	3330
540	1233	3327
541	1236	3324
542	1238	3323
543	1240	3320
544	1242	3318
545	1245	3316
546	1247	3313
547	1249	3311
548	1252	3309
549	1254	3307
550	1256	3304
551	1258	3301
552	1261	3300
553	1263	3297
554	1266	3296
555	1268	3294
556	1271	3292
557	1273	3290
558	1275	3287
559	1277	3285
560	1279	3282
561	1282	3280
562	1284	3278
563	1286	3276
564	1289	3273
565	1291	3271
566	1293	3268
567	1297	3270
568	1298	3266
569	1301	3264
570	1304	3264
571	1306	3261
572	1308	3258
573	1310	3256
574	1312	3253
575	1315	3251
576	1317	3249
577	1319	3247
578	1321	3244
579	1324	3242
580	1326	3239
581	1328	3237
582	1331	3235
583	1333	3233
584	1335	3230
585	1337	3227
586	1339	3224
587	1341	3222
588	1343	3219
589	1347	3219
590	1349	3216
591	1352	3215
592	1354	3213
593	1356	3210
594	1358	3207
595	1361	3207
596	1363	3204
597	1366	3202
598	1368	3201
599	1371	3199
600	1373	3196
601	1375	3193
602	1377	3191
603	1379	3188
604	1381	3186
605	1384	3184
606	1386	3181
607	1388	3178
608	1390	3175
609	1392	3173
610	1394	3170
611	1397	3168
612	1399	3165
613	1401	3162
614	1403	3160
615	1405	3158
616	1407	3155
617	1410	3153
618	1412	3152
619	1414	3149
620	1417	3147
621	1419	3145
622	1422	3143
623	1424	3140
624	1426	3138
625	1429	3136
626	1431	3134
627	1433	3131
628	1435	3129
629	1438	3127
630	1440	3126
631	1443	3123
632	1445	3120
633	1447	3118
634	1449	3115
635	1451	3113
636	1454	3111
637	1456	3108
638	1458	3105
639	1460	3102
640	1462	3100
641	1464	3098
642	1467	3096
643	1469	3094
644	1471	3091
645	1476	3093
646	1478	3091
647	1480	3089
648	1483	3087
649	1485	3085
650	1487	3082
651	1490	3080
652	1492	3078
653	1494	3076
654	1497	3074
655	1499	3071
656	1501	3068
657	1503	3065
658	1505	3063
659	1507	3060
660	1510	3059
661	1512	3057
662	1515	3055
663	1517	3053
664	1519	3051
665	1521	3048
666	1524	3045
667	1526	3043
668	1528	3041
669	1530	3038
670	1533	3036
671	1535	3035
672	1538	3032
673	1540	3030
674	1542	3027
675	1544	3024
676	1547	3023
677	1549	3020
678	1551	3018
679	1553	3016
680	1556	3013
681	1558	3011
682	1560	3008
683	1562	3006
684	1564	3003
685	1566	3000
686	1568	2998
687	1571	2996
688	1573	2994
689	1575	2991
690	1578	2989
691	1580	2987
692	1582	2984
693	1584	2981
694	1586	2979
695	1589	2977
696	1591	2975
697	1593	2972
698	1595	2969
699	1597	2967
700	1600	2965
701	1603	2965
702	1606	2963
703	1608	2961
704	1610	2958
705	1612	2955
706	1615	2953
707	1617	2951
708	1619	2949
709	1622	2947
710	1624	2944
711	1627	2943
712	1628	2940
713	1631	2938
714	1633	2936
715	1636	2934
716	1638	2931
717	1640	2929
718	1643	2927
719	1645	2925
720	1647	2923
721	1650	2921
722	1652	2919
723	1655	2917
724	1657	2915
725	1659	2912
726	1661	2910
